fips,election,cvap
1001,2012,39580
1003,2012,136945
1005,2012,20895
1007,2012,17330
1009,2012,41385
1011,2012,8025
1013,2012,15625
1015,2012,89120
1017,2012,26160
1019,2012,20505
1021,2012,31355
1023,2012,10705
1025,2012,19330
1027,2012,10470
1029,2012,11225
1031,2012,36475
1033,2012,41970
1035,2012,10150
1037,2012,8860
1039,2012,29130
1041,2012,10415
1043,2012,60050
1045,2012,36905
1047,2012,31770
1049,2012,48685
1051,2012,59480
1053,2012,29010
1055,2012,78815
1057,2012,13360
1059,2012,21895
1061,2012,20375
1063,2012,6860
1065,2012,11720
1067,2012,13160
1069,2012,75325
1071,2012,40775
1073,2012,486200
1075,2012,11250
1077,2012,71590
1079,2012,25980
1081,2012,104920
1083,2012,61440
1085,2012,8520
1087,2012,16895
1089,2012,246595
1091,2012,15755
1093,2012,23975
1095,2012,63975
1097,2012,301385
1099,2012,17040
1101,2012,167345
1103,2012,86215
1105,2012,7940
1107,2012,14995
1109,2012,24810
1111,2012,17365
1113,2012,39795
1115,2012,62830
1117,2012,138615
1119,2012,10580
1121,2012,62420
1123,2012,31855
1125,2012,148520
1127,2012,51455
1129,2012,12980
1131,2012,8560
1133,2012,19010
2013,2012,1425
2016,2012,3585
2020,2012,205295
2050,2012,10830
2060,2012,675
2068,2012,1405
2070,2012,3215
2090,2012,70255
2100,2012,1875
2105,2012,1715
2110,2012,23560
2122,2012,41735
2130,2012,9960
2150,2012,8885
2164,2012,1030
2170,2012,62780
2180,2012,6250
2185,2012,6795
2188,2012,4830
2195,2012,2900
2198,2012,4130
2220,2012,6625
2230,2012,730
2240,2012,4965
2261,2012,7055
2270,2012,4400
2275,2012,1910
2282,2012,470
2290,2012,4075
4001,2012,48325
4003,2012,93665
4005,2012,97855
4007,2012,41100
4009,2012,25415
4011,2012,5900
4012,2012,15180
4013,2012,2488270
4015,2012,152385
4017,2012,73610
4019,2012,691925
4021,2012,249650
4023,2012,25075
4025,2012,164055
4027,2012,113330
5001,2012,14270
5003,2012,16205
5005,2012,33715
5007,2012,145820
5009,2012,28330
5011,2012,8405
5013,2012,4270
5015,2012,20240
5017,2012,8805
5019,2012,18315
5021,2012,12425
5023,2012,20540
5025,2012,6505
5027,2012,18485
5029,2012,15825
5031,2012,70405
5033,2012,44170
5035,2012,35455
5037,2012,13365
5039,2012,6085
5041,2012,9330
5043,2012,14065
5045,2012,83620
