,fips,county,state,election,democrat,republican,other,total,democrat_percent,republican_percent,other_percent,democrat_diff,other_diff,republican_diff,total_diff,democrat_percent_diff,other_percent_diff,republican_percent_diff,democrat_margin,democrat_margin_diff,democrat_margin_percent,democrat_margin_percent_diff
0,2,Alaska,Alaska,2000,79004,167398,39158,285560,0.27666339823504693,0.5862095531587057,0.1371270486062474,0,0,0,0,0.0,0.0,0.0,-88394,0,-0.3095461549236588,0.0
1,2,Alaska,Alaska,2004,111025,190889,10684,312598,0.35516861912104364,0.6106532991253942,0.03417808175356208,32021,-28474,23491,27038,0.07850522088599671,-0.10294896685268531,0.024443745966688524,-79864,8530,-0.2554846800043506,0.05406147491930818
2,2,Alaska,Alaska,2008,123594,193841,8762,326197,0.37889373599389325,0.5942451953880631,0.026861068618043698,12569,-1922,2952,13599,0.023725116872849616,-0.007317013135518382,-0.016408103737331148,-70247,9617,-0.21535145939416983,0.040133220610180764
3,2,Alaska,Alaska,2012,122640,164676,13179,300495,0.40812659112464433,0.5480157739729447,0.04385763490241102,-954,4417,-29165,-25702,0.02923285513075108,0.016996566284367323,-0.04622942141511843,-42036,28211,-0.13988918284830032,0.07546227654586951
4,2,Alaska,Alaska,2016,116454,163387,38767,318608,0.36550871290111986,0.5128151207753728,0.12167616632350725,-6186,25588,-1289,18113,-0.042617878223524475,0.07781853142109624,-0.03520065319757182,-46933,-4897,-0.14730640787425298,-0.007417225025952656
5,1001,Autauga,Alabama,2000,4942,11993,273,17208,0.2871920037192004,0.6969432821943282,0.01586471408647141,0,0,0,0,0.0,0.0,0.0,-7051,0,-0.4097512784751278,0.0
6,1001,Autauga,Alabama,2004,4758,15196,127,20081,0.2369403914147702,0.7567352223494845,0.006324386235745232,-184,-146,3203,2873,-0.050251612304430204,-0.009540327850726176,0.05979194015515632,-10438,-3387,-0.5197948309347143,-0.11004355245958652
7,1001,Autauga,Alabama,2008,6093,17403,145,23641,0.25773021445793326,0.7361363732498625,0.006133412292204221,1335,18,2207,3560,0.02078982304316307,-0.0001909739435410106,-0.020598849099622063,-11310,-872,-0.4784061587919292,0.04138867214278513
8,1001,Autauga,Alabama,2012,6363,17379,231,23973,0.2654236015517457,0.7249405581278939,0.009635840320360406,270,86,-24,332,0.007693387093812454,0.003502428028156185,-0.011195815121968544,-11016,294,-0.4595169565761482,0.018889202215780998
9,1001,Autauga,Alabama,2016,5936,18172,865,24973,0.2376967124494454,0.7276658791494814,0.03463740840107316,-427,634,793,1000,-0.02772688910230031,0.025001568080712758,0.0027253210215875123,-12236,-1220,-0.48996916670003604,-0.030452210123887824
10,1003,Baldwin,Alabama,2000,13997,40872,1611,56480,0.24782223796033995,0.7236543909348442,0.028523371104815863,0,0,0,0,0.0,0.0,0.0,-26875,0,-0.4758321529745042,0.0
11,1003,Baldwin,Alabama,2004,15599,52971,750,69320,0.22502885170225043,0.7641517599538373,0.01081938834391229,1602,-861,12099,12840,-0.02279338625808952,-0.017703982760903573,0.040497369018993146,-37372,-10497,-0.5391229082515869,-0.06329075527708272
12,1003,Baldwin,Alabama,2008,19386,61271,756,81413,0.23811921928930269,0.7525947944431479,0.00928598626754941,3787,6,8300,12093,0.01309036758705226,-0.001533402076362881,-0.01155696551068941,-41885,-4513,-0.5144755751538452,0.024647333097741697
13,1003,Baldwin,Alabama,2012,18424,66016,1051,85491,0.21550806517645132,0.7721982430899159,0.01229369173363278,-962,295,4745,4078,-0.02261115411285136,0.003007705466083371,0.019603448646767996,-47592,-5707,-0.5566901779134645,-0.0422146027596193
14,1003,Baldwin,Alabama,2016,18458,72883,3874,95215,0.193856010082445,0.765457123352413,0.040686866565142046,34,2823,6867,9724,-0.021652055094006334,0.028393174831509264,-0.00674111973750291,-54425,-6833,-0.571601113269968,-0.014910935356503452
15,1005,Barbour,Alabama,2000,5188,5096,111,10395,0.4990860990860991,0.49023569023569025,0.010678210678210679,0,0,0,0,0.0,0.0,0.0,92,0,0.00885040885040883,0.0
16,1005,Barbour,Alabama,2004,4832,5899,46,10777,0.4483622529460889,0.5473693977915932,0.0042683492623178994,-356,-65,803,382,-0.05072384614001019,-0.00640986141589278,0.05713370755590297,-1067,-1159,-0.09900714484550432,-0.10785755369591316
17,1005,Barbour,Alabama,2008,5697,5866,67,11630,0.48985382631126395,0.5043852106620809,0.005760963026655202,865,21,-33,853,0.04149157336517506,0.001492613764337303,-0.04298418712951235,-169,898,-0.014531384350816912,0.08447576049468741
18,1005,Barbour,Alabama,2012,5912,5550,55,11517,0.5133281236433099,0.4818963271685335,0.004775549188156638,215,-12,-316,-113,0.02347429733204598,-0.000985413838498564,-0.022488883493547385,362,531,0.03143179647477645,0.045963180825593364
19,1005,Barbour,Alabama,2016,4871,5454,144,10469,0.46527844111185407,0.5209666634826631,0.013754895405482854,-1041,89,-96,-1048,-0.04804968253145586,0.008979346217326215,0.039070336314129595,-583,-945,-0.055688222370809004,-0.08712001884558546
20,1007,Bibb,Alabama,2000,2710,4273,118,7101,0.381636389240952,0.6017462329249401,0.016617377834107872,0,0,0,0,0.0,0.0,0.0,-1563,0,-0.22010984368398812,0.0
21,1007,Bibb,Alabama,2004,2089,5472,39,7600,0.2748684210526316,0.72,0.005131578947368421,-621,-79,1199,499,-0.1067679681883204,-0.011485798886739451,0.11825376707505986,-3383,-1820,-0.4451315789473684,-0.22502173526338026
22,1007,Bibb,Alabama,2008,2299,6262,83,8644,0.2659648310967145,0.7244331328088848,0.00960203609440074,210,44,790,1044,-0.008903589955917113,0.004470457147032319,0.004433132808884799,-3963,-580,-0.4584683017121703,-0.013336722764801912
23,1007,Bibb,Alabama,2012,2202,6132,86,8420,0.261520190023753,0.7282660332541567,0.010213776722090262,-97,3,-130,-224,-0.004444641072961497,0.0006117406276895214,0.0038329004452719584,-3930,33,-0.46674584323040375,-0.008277541518233456
24,1007,Bibb,Alabama,2016,1874,6738,207,8819,0.21249574781721284,0.7640322031976414,0.023472048985145707,-328,121,606,399,-0.04902444220654015,0.013258272263055445,0.035766169943484694,-4864,-934,-0.5515364553804286,-0.08479061215002487
25,1009,Blount,Alabama,2000,4977,12667,329,17973,0.2769153730595894,0.704779391309186,0.018305235631224614,0,0,0,0,0.0,0.0,0.0,-7690,0,-0.4278640182495966,0.0
26,1009,Blount,Alabama,2004,3938,17386,180,21504,0.18312872023809523,0.8085007440476191,0.008370535714285714,-1039,-149,4719,3531,-0.09378665282149418,-0.0099346999169389,0.10372135273843308,-13448,-5758,-0.6253720238095238,-0.19750800555992726
